x;V1;V2;V3;V4;V5
0;0,0237;0,0237;0,0226;0,0225;0,0227
1;0,001131612;0,001019952;0,000997054;0,001081262;0,000911709
2;0,000916834;0,000861576;0,000807733;0,000868113;0,000778803
3;0,00074478;0,00072149;0,000657238;0,00069524;0,000658819
4;0,000611041;0,00060078;0,000541297;0,000559155;0,000553792
5;0,000511318;0,000500134;0,000455784;0,000456357;0,000465267
6;0,000441534;0,000419919;0,00039681;0,000383415;0,000394364
7;0,00039785;0,000360188;0,000360746;0,000336997;0,000341788
8;0,000376602;0,000320605;0,000344157;0,000313804;0,000307753
9;0,000374455;0,000300586;0,000343944;0,000310716;0,000292115
10;0,000399547;0,000308833;0,000367166;0,000335491;0,000302773
11;0,000420098;0,000319302;0,000385727;0,000357443;0,000316824
12;0,000450968;0,000345367;0,000412681;0,000390508;0,000345988
13;0,000491529;0,000386662;0,000447531;0,000417384;0,000389774
14;0,000539971;0,000441127;0,000488657;0,000486992;0,00044593
15;0,000597264;0,000524866;0,000536621;0,00056326;0,000538526
16;0,000657162;0,000593763;0,00058702;0,000622047;0,000604209
17;0,00071985;0,000662892;0,000639727;0,000671086;0,000666287
18;0,000783941;0,000730159;0,000693737;0,000710359;0,000723038
19;0,000846958;0,000792662;0,000746985;0,000739846;0,000772287
20;0,000926917;0,000865042;0,000812253;0,000775942;0,000808836
21;0,000976531;0,000907624;0,000855808;0,00081871;0,000842582
22;0,00101405;0,000935707;0,000890467;0,000851747;0,000868701
23;0,001039543;0,000949774;0,000916281;0,000875025;0,000887736
24;0,001052985;0,000950339;0,000932951;0,000888511;0,000899558
25;0,001030605;0,000906716;0,000924512;0,000905328;0,000903279
26;0,001033687;0,000898466;0,00093227;0,000928768;0,000904689
27;0,001038583;0,00089491;0,000940241;0,000947321;0,000902958
28;0,001047341;0,000898395;0,000949987;0,000960969;0,000900047
29;0,001060634;0,000909635;0,00096185;0,000969696;0,000897149
30;0,001088717;0,000945695;0,000988954;0,000962584;0,000879563
31;0,001111326;0,000969649;0,00100404;0,000958765;0,000888819
32;0,001137862;0,000997532;0,001019851;0,000978773;0,000909358
33;0,001169329;0,001030054;0,001038019;0,0010227;0,000942563
34;0,001205803;0,001067095;0,00105957;0,001090646;0,000988181
35;0,001247043;0,001107631;0,00106337;0,001148036;0,001071067
36;0,001296913;0,001157097;0,001105883;0,001189659;0,00113321
37;0,001354747;0,001214205;0,001165156;0,001247624;0,001198845
38;0,001421742;0,001280277;0,00124242;0,00132202;0,001268597
39;0,001498108;0,001355711;0,001337121;0,001412941;0,00134271
40;0,001597261;0,001445402;0,001486814;0,001471623;0,001404857
41;0,001691812;0,001542461;0,001602596;0,001519702;0,001498822
42;0,001795251;0,001651589;0,001721657;0,001617063;0,001608193
43;0,001910011;0,001774799;0,001844968;0,001764033;0,001734884
44;0,00203818;0,001913376;0,001973629;0,001960992;0,001879546
45;0,002145383;0,002051582;0,002078542;0,002115374;0,002065565
46;0,002323123;0,002233748;0,002237886;0,002237749;0,002242849
47;0,002536217;0,002443396;0,002422965;0,002426748;0,00243471
48;0,002786688;0,00268211;0,002637316;0,002683066;0,002643838
49;0,00307436;0,002949877;0,002883062;0,003007535;0,00287281
50;0,003481029;0,003311725;0,003189952;0,003266731;0,003081893
51;0,003815668;0,003618248;0,00349754;0,003483992;0,003377439
52;0,004160371;0,003935347;0,003835371;0,003806272;0,003719291
53;0,004518884;0,004273903;0,004192749;0,004235314;0,004110448
54;0,004982554;0,00471758;0,004719536;0,004773243;0,004551713
55;0,005298571;0,005010592;0,005131622;0,005243733;0,005117746
56;0,005582957;0,005268919;0,005483172;0,005651531;0,005594992
57;0,006102337;0,005768636;0,006024993;0,00617942;0,006125965
58;0,006862687;0,006515509;0,006762042;0,006830848;0,006751895
59;0,00787144;0,007516745;0,007700479;0,007609992;0,007476143
60;0,00890187;0,008537489;0,008644475;0,008328849;0,008067214
61;0,00980022;0,009420233;0,009485004;0,008986986;0,008613571
62;0,010725205;0,010329719;0,010371353;0,009779951;0,009400157
63;0,011679962;0,011269005;0,011307191;0,010714149;0,010436835
64;0,012667915;0,012241432;0,012296664;0,011797265;0,01173577
65;0,013534552;0,013082259;0,013125019;0,012685685;0,013019114
66;0,014432964;0,013951842;0,013967713;0,013523599;0,014191766
67;0,015609276;0,015110112;0,015144692;0,014748992;0,015502354
68;0,017082674;0,016576286;0,016677908;0,016386501;0,016962549
69;0,018876657;0,018373965;0,018594506;0,018466983;0,018586294
70;0,020441588;0,020099039;0,020467077;0,020643919;0,020020806
71;0,02192164;0,02173842;0,022230846;0,022692486;0,021469319
72;0,023997553;0,023734909;0,024328966;0,024889086;0,023430854
73;0,026731116;0,026127508;0,026799831;0,027255976;0,025957747
74;0,030201945;0,028965188;0,029691588;0,029819651;0,029116733
75;0,034061055;0,031731438;0,032522265;0,032212198;0,032432985
76;0,037903366;0,034542717;0,035433076;0,034795405;0,035725616
77;0,041985902;0,038091891;0,03909729;0,038224356;0,039494242
78;0,046365854;0,042502691;0,043644528;0,042637809;0,043828052
79;0,051112751;0,047940078;0,049248108;0,04822142;0,048842949
80;0,056612829;0,053719768;0,055233078;0,054072551;0,054390941
81;0,063049043;0,059941738;0,061710574;0,060276547;0,060606801
82;0,070331454;0,067751914;0,069848837;0,068237399;0,068006877
83;0,078702846;0,07761177;0,080143909;0,078468254;0,076932101
84;0,088499652;0,090206844;0,093338104;0,091739503;0,087873445
